"","URL","CollegeName","TuitionFeesThousands","RoomBoardThousands","TotalEnrollment","SchoolType","YearFounded","Setting","Endowment2017Millions","MedianStartingSalaryOfAlumniThousands","Selectivity","Fall2017AcceptanceRate","MalePercentage","FourYearGraduationRate","TotalCostThousands"
"90","https://www.usnews.com/best-colleges/loyola-university-chicago-1710","Loyola University Chicago",44.048,14.48,16673,"Private, Coed",1870,"City",593.5,49.1,"More selective",0.71,0.34,0.69,58.528
"91","https://www.usnews.com/best-colleges/marquette-university-3863","Marquette University",41.87,12.72,11426,"Private, Coed",1881,"Urban",626.2,54,"More selective",0.89,0.47,0.59,54.59
"92","https://www.usnews.com/best-colleges/ub-9554","University at Buffalo--SUNY",27.758,13.723,30648,"Public, Coed",1846,"Suburban",659.2,51.1,"More selective",0.57,0.57,0.57,41.481
"93","https://www.usnews.com/best-colleges/university-of-delaware-1431","University of Delaware",34.31,12.864,22970,"Public, Coed",1743,"Suburban",1400,54.8,"More selective",0.6,0.43,0.73,47.174
"94","https://www.usnews.com/best-colleges/university-of-iowa-1892","University of Iowa",30.609,10.45,32166,"Public, Coed",1847,"City",1400,49.6,"More selective",0.86,0.47,0.54,41.059
"95","https://www.usnews.com/best-colleges/illinois-institute-of-technology-1691","Illinois Institute of Technology",47.646,13.192,7164,"Private, Coed",1890,"Urban",241.9,61.4,"More selective",0.54,0.69,0.32,60.838
"96","https://www.usnews.com/best-colleges/miami-university-7104","Miami University--Oxford",33.577,13.031,19700,"Public, Coed",1809,"Rural",512.4,53.3,"More selective",0.68,0.5,0.67,46.608
"97","https://www.usnews.com/best-colleges/university-of-colorado-boulder-1370","University of Colorado--Boulder",37.288,14.418,35230,"Public, Coed",1876,"City",596.4,53.4,"More selective",0.8,0.56,0.45,51.706
"98","https://www.usnews.com/best-colleges/university-of-denver-1371","University of Denver",50.556,13.005,11434,"Private, Coed",1864,"City",711.3,50.6,"More selective",0.58,0.47,0.65,63.561
"99","https://www.usnews.com/best-colleges/university-of-san-francisco-1325","University of San Francisco",48.066,14.83,11080,"Private, Coed",1855,"Urban",349.6,54.9,"More selective",0.66,0.38,0.67,62.896
"100","https://www.usnews.com/best-colleges/university-of-vermont-3696","University of Vermont",42.516,12.462,13340,"Public, Coed",1791,"Suburban",453.3,49.3,"More selective",0.67,0.42,0.62,54.978
"101","https://www.usnews.com/best-colleges/clarkson-university-2699","Clarkson University",49.444,15.222,4233,"Private, Coed",1896,"Rural",191.1,63.8,"More selective",0.66,0.7,0.58,64.666
"102","https://www.usnews.com/best-colleges/drexel-university-3256","Drexel University",52.002,13.89,21940,"Private, Coed",1891,"Urban",707.6,59.9,"More selective",0.79,0.5,0,65.892
"103","https://www.usnews.com/best-colleges/rit-2806","Rochester Institute of Technology",44.13,13.046,15346,"Private, Coed",1829,"Suburban",847.2,60.3,"More selective",0.57,0.67,0.28,57.176
"104","https://www.usnews.com/best-colleges/university-of-oregon-3223","University of Oregon",35.478,12.963,22887,"Public, Coed",1876,"City",828.5,48.3,"Selective",0.83,0.46,0.52,48.441
"105","https://www.usnews.com/best-colleges/njit-2621","New Jersey Institute of Technology",31.918,13.808,11446,"Public, Coed",1881,"Urban",112.4,60.9,"More selective",0.61,0.74,0.28,45.726
"106","https://www.usnews.com/best-colleges/st-louis-university-2506","Saint Louis University",43.996,12.29,12098,"Private, Coed",1818,"Urban",1100,50.6,"More selective",0.64,0.4,0.66,56.286
"107","https://www.usnews.com/best-colleges/suny-environmental-science-and-forestry-2851","SUNY College of Environmental Science and Forestry",18.218,16.14,2215,"Public, Coed",1911,"City",35.9,52.2,"More selective",0.52,0.53,0,34.358
"108","https://www.usnews.com/best-colleges/temple-university-3371","Temple University",28.426,11.566,39948,"Public, Coed",1884,"Urban",615.4,48.3,"More selective",0.57,0.47,0.45,39.992
